Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [25/Oct/2021 12:55:57] "DELETE /admin/user/remove/v1 HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "GET /channels/listall/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "GET /channels/list/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /channels/create/v2 HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "GET /channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&channel_id=channel_id HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "GET /channels/listall/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "GET /channels/listall/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjoxfQ.TRaBuhZEo2Vv9pm8TRjQNA9ESas6FJpdsSAgE1elXqI HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "GET /channels/listall/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:57] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channel/addowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channel/addowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channel/join/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channel/join/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channel/addowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channel/addowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "GET /channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "GET /channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "GET /channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "GET /channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "GET /channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 400 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [25/Oct/2021 12:55:58] "POST /auth/register/v2 HTTP/1.1" 200 -
